REFNUM	Days	EVTYPE	STATE	FATALITIES	INJURIES	Property	Crop	REMARKS
4380	1989-11-15	TORNADO	AL	21	463	2.5e+08	0	
4387	1989-11-15	TORNADO	AL	0	0	2.5e+08	0	
16503	1979-10-03	TORNADO	CT	3	500	2.5e+08	0	
16604	1989-07-10	TORNADO	CT	0	40	2.5e+08	0	
23085	1973-03-31	TORNADO	GA	0	0	2.5e+08	0	
23086	1973-03-31	TORNADO	GA	1	50	2.5e+08	0	
23087	1973-03-31	TORNADO	GA	0	0	2.5e+08	0	
23088	1973-03-31	TORNADO	GA	1	50	2.5e+08	0	
23089	1973-03-31	TORNADO	GA	0	0	2.5e+08	0	
23416	1975-03-24	TORNADO	GA	3	152	2.5e+08	0	
32040	1982-05-29	TORNADO	IL	10	181	2.5e+08	0	
33833	1990-08-28	TORNADO	IL	29	350	2.5e+08	0	
35124	1965-04-11	TORNADO	IN	17	560	2.5e+08	0	
35126	1965-04-11	TORNADO	IN	8	275	2.5e+08	0	
35747	1974-04-03	TORNADO	IN	2	6	2.5e+08	0	
35765	1974-04-03	TORNADO	IN	0	0	2.5e+08	0	
35784	1974-04-03	TORNADO	IN	0	0	2.5e+08	0	
44211	1986-07-28	TORNADO	IA	0	1	2.5e+08	0	
44214	1986-07-28	TORNADO	IA	0	0	2.5e+08	0	
48579	1966-06-08	TORNADO	KS	16	450	2.5e+08	0	
56274	1991-04-26	TORNADO	KS	4	75	2.5e+08	0	
56281	1991-04-26	TORNADO	KS	13	150	2.5e+08	0	
62329	1978-12-03	TORNADO	LA	2	266	2.5e+08	0	
67884	1953-06-09	TORNADO	MA	90	1228	2.5e+08	0	
68670	1953-06-08	TORNADO	MI	116	785	2.5e+07	0	
69134	1965-04-11	TORNADO	MI	9	200	2.5e+08	0	
78567	1966-03-03	TORNADO	MS	57	504	2.5e+07	0	
95159	1975-05-06	TORNADO	NE	3	118	2.5e+08	0	
96464	1980-06-03	TORNADO	NE	3	110	2.5e+08	0	
110197	1988-11-28	TORNADO	NC	2	105	2.5e+08	0	
116011	1974-04-03	TORNADO	OH	36	1150	2.5e+08	0	
118076	1985-05-31	TORNADO	OH	0	0	2.5e+08	0	
118077	1985-05-31	TORNADO	OH	10	250	2.5e+08	0	
118081	1985-05-31	TORNADO	OH	0	0	2.5e+08	0	
125532	1981-04-19	TORNADO	OK	0	7	2.5e+08	0	
125797	1982-05-11	TORNADO	OK	0	41	2.5e+08	0	
135363	1980-06-03	TORNADO	PA	0	20	2.5e+08	0	
135364	1980-06-03	TORNADO	PA	0	0	2.5e+08	0	
135365	1980-06-03	TORNADO	PA	0	120	2.5e+08	0	
135427	1980-07-21	TORNADO	PA	0	1	2.5e+08	0	
148852	1953-05-11	TORNADO	TX	114	597	2.5e+07	0	
153749	1970-05-11	TORNADO	TX	26	500	2.5e+08	0	
157885	1979-04-10	TORNADO	TX	42	1700	2.5e+08	0	
159099	1980-08-10	TORNADO	TX	0	4	2.5e+08	0	
171645	1992-11-21	TORNADO	TX	0	15	2.5e+08	0	
